Config file: Conf.ini 
Using binary neurons
Number,NCC-Alice Bob(%),NCC-Alice Original(%),NCC-Bob Original(%),Alice Name,Bob Name
0,-4.603160,-4.603160,100.000000,U2-Trial2/sha1.bin/Result0Enc.bin,U2-Trial2/sha1.bin/Result0Dec.bin
1,-4.603160,-4.603160,100.000000,U2-Trial2/sha1.bin/Result1Enc.bin,U2-Trial2/sha1.bin/Result1Dec.bin
2,-4.603160,-4.603160,100.000000,U2-Trial2/sha1.bin/Result2Enc.bin,U2-Trial2/sha1.bin/Result2Dec.bin
3,-4.546662,-0.652304,55.722763,U2-Trial2/sha1.bin/Result3Enc.bin,U2-Trial2/sha1.bin/Result3Dec.bin
4,-4.611239,-4.607343,99.999939,U2-Trial2/sha1.bin/Result4Enc.bin,U2-Trial2/sha1.bin/Result4Dec.bin
5,-4.603160,-4.603160,100.000000,U2-Trial2/sha1.bin/Result5Enc.bin,U2-Trial2/sha1.bin/Result5Dec.bin
6,-4.546662,-0.652304,55.722763,U2-Trial2/sha1.bin/Result6Enc.bin,U2-Trial2/sha1.bin/Result6Dec.bin
7,-4.603160,-4.603160,100.000000,U2-Trial2/sha1.bin/Result7Enc.bin,U2-Trial2/sha1.bin/Result7Dec.bin
8,-4.603160,-4.603160,100.000000,U2-Trial2/sha1.bin/Result8Enc.bin,U2-Trial2/sha1.bin/Result8Dec.bin
9,-4.603160,-4.603160,100.000000,U2-Trial2/sha1.bin/Result9Enc.bin,U2-Trial2/sha1.bin/Result9Dec.bin
10,-4.603160,-4.603160,100.000000,U2-Trial2/sha1.bin/Result10Enc.bin,U2-Trial2/sha1.bin/Result10Dec.bin
11,-4.603160,-4.603160,100.000000,U2-Trial2/sha1.bin/Result11Enc.bin,U2-Trial2/sha1.bin/Result11Dec.bin
12,-4.603160,-4.603160,100.000000,U2-Trial2/sha1.bin/Result12Enc.bin,U2-Trial2/sha1.bin/Result12Dec.bin
13,-4.603160,-4.603160,100.000000,U2-Trial2/sha1.bin/Result13Enc.bin,U2-Trial2/sha1.bin/Result13Dec.bin
14,-4.603160,-4.603160,100.000000,U2-Trial2/sha1.bin/Result14Enc.bin,U2-Trial2/sha1.bin/Result14Dec.bin
15,-4.603160,-4.603160,100.000000,U2-Trial2/sha1.bin/Result15Enc.bin,U2-Trial2/sha1.bin/Result15Dec.bin
16,-4.603160,-4.603160,100.000000,U2-Trial2/sha1.bin/Result16Enc.bin,U2-Trial2/sha1.bin/Result16Dec.bin
17,-4.603160,-4.603160,100.000000,U2-Trial2/sha1.bin/Result17Enc.bin,U2-Trial2/sha1.bin/Result17Dec.bin
18,-4.603160,-4.603160,100.000000,U2-Trial2/sha1.bin/Result18Enc.bin,U2-Trial2/sha1.bin/Result18Dec.bin
19,-4.603160,-4.603160,100.000000,U2-Trial2/sha1.bin/Result19Enc.bin,U2-Trial2/sha1.bin/Result19Dec.bin
20,-2.027649,-1.174561,58.401691,U2-Trial2/sha1.bin/Result20Enc.bin,U2-Trial2/sha1.bin/Result20Dec.bin
21,-4.603160,-4.603160,100.000000,U2-Trial2/sha1.bin/Result21Enc.bin,U2-Trial2/sha1.bin/Result21Dec.bin
