Config file: Conf.ini 
Using binary neurons
Number,NCC-Alice Bob(%),NCC-Alice Original(%),NCC-Bob Original(%),Alice Name,Bob Name
0,0.334663,0.334663,100.000000,U2-Trial2/sqrt2.bin/Result0Enc.bin,U2-Trial2/sqrt2.bin/Result0Dec.bin
1,0.334663,0.334663,100.000000,U2-Trial2/sqrt2.bin/Result1Enc.bin,U2-Trial2/sqrt2.bin/Result1Dec.bin
2,0.334663,0.334663,100.000000,U2-Trial2/sqrt2.bin/Result2Enc.bin,U2-Trial2/sqrt2.bin/Result2Dec.bin
3,-1.113318,1.172164,51.195465,U2-Trial2/sqrt2.bin/Result3Enc.bin,U2-Trial2/sqrt2.bin/Result3Dec.bin
4,0.336028,0.334594,99.999947,U2-Trial2/sqrt2.bin/Result4Enc.bin,U2-Trial2/sqrt2.bin/Result4Dec.bin
5,0.334663,0.334663,100.000000,U2-Trial2/sqrt2.bin/Result5Enc.bin,U2-Trial2/sqrt2.bin/Result5Dec.bin
6,-1.113318,1.172164,51.195465,U2-Trial2/sqrt2.bin/Result6Enc.bin,U2-Trial2/sqrt2.bin/Result6Dec.bin
7,0.334663,0.334663,100.000000,U2-Trial2/sqrt2.bin/Result7Enc.bin,U2-Trial2/sqrt2.bin/Result7Dec.bin
8,0.334663,0.334663,100.000000,U2-Trial2/sqrt2.bin/Result8Enc.bin,U2-Trial2/sqrt2.bin/Result8Dec.bin
9,0.334663,0.334663,100.000000,U2-Trial2/sqrt2.bin/Result9Enc.bin,U2-Trial2/sqrt2.bin/Result9Dec.bin
10,0.334663,0.334663,100.000000,U2-Trial2/sqrt2.bin/Result10Enc.bin,U2-Trial2/sqrt2.bin/Result10Dec.bin
11,0.334663,0.334663,100.000000,U2-Trial2/sqrt2.bin/Result11Enc.bin,U2-Trial2/sqrt2.bin/Result11Dec.bin
12,0.334663,0.334663,100.000000,U2-Trial2/sqrt2.bin/Result12Enc.bin,U2-Trial2/sqrt2.bin/Result12Dec.bin
13,0.334663,0.334663,100.000000,U2-Trial2/sqrt2.bin/Result13Enc.bin,U2-Trial2/sqrt2.bin/Result13Dec.bin
14,0.334663,0.334663,100.000000,U2-Trial2/sqrt2.bin/Result14Enc.bin,U2-Trial2/sqrt2.bin/Result14Dec.bin
15,0.334663,0.334663,100.000000,U2-Trial2/sqrt2.bin/Result15Enc.bin,U2-Trial2/sqrt2.bin/Result15Dec.bin
16,0.334663,0.334663,100.000000,U2-Trial2/sqrt2.bin/Result16Enc.bin,U2-Trial2/sqrt2.bin/Result16Dec.bin
17,0.334663,0.334663,100.000000,U2-Trial2/sqrt2.bin/Result17Enc.bin,U2-Trial2/sqrt2.bin/Result17Dec.bin
18,0.334663,0.334663,100.000000,U2-Trial2/sqrt2.bin/Result18Enc.bin,U2-Trial2/sqrt2.bin/Result18Dec.bin
19,0.334663,0.334663,100.000000,U2-Trial2/sqrt2.bin/Result19Enc.bin,U2-Trial2/sqrt2.bin/Result19Dec.bin
20,0.140159,0.119397,44.431564,U2-Trial2/sqrt2.bin/Result20Enc.bin,U2-Trial2/sqrt2.bin/Result20Dec.bin
21,0.334663,0.334663,100.000000,U2-Trial2/sqrt2.bin/Result21Enc.bin,U2-Trial2/sqrt2.bin/Result21Dec.bin
22,0.334663,0.334663,100.000000,U2-Trial2/sqrt2.bin/Result22Enc.bin,U2-Trial2/sqrt2.bin/Result22Dec.bin
23,-1.113318,1.172164,51.195465,U2-Trial2/sqrt2.bin/Result23Enc.bin,U2-Trial2/sqrt2.bin/Result23Dec.bin
24,0.334663,0.334663,100.000000,U2-Trial2/sqrt2.bin/Result24Enc.bin,U2-Trial2/sqrt2.bin/Result24Dec.bin
25,0.334663,0.334663,100.000000,U2-Trial2/sqrt2.bin/Result25Enc.bin,U2-Trial2/sqrt2.bin/Result25Dec.bin
26,0.277126,0.119397,44.645348,U2-Trial2/sqrt2.bin/Result26Enc.bin,U2-Trial2/sqrt2.bin/Result26Dec.bin
27,0.334424,0.334631,99.999977,U2-Trial2/sqrt2.bin/Result27Enc.bin,U2-Trial2/sqrt2.bin/Result27Dec.bin
28,0.334663,0.334663,100.000000,U2-Trial2/sqrt2.bin/Result28Enc.bin,U2-Trial2/sqrt2.bin/Result28Dec.bin
29,1.397799,0.334663,72.423759,U2-Trial2/sqrt2.bin/Result29Enc.bin,U2-Trial2/sqrt2.bin/Result29Dec.bin
30,0.501721,0.334663,39.634304,U2-Trial2/sqrt2.bin/Result30Enc.bin,U2-Trial2/sqrt2.bin/Result30Dec.bin
31,0.442265,0.986833,54.310566,U2-Trial2/sqrt2.bin/Result31Enc.bin,U2-Trial2/sqrt2.bin/Result31Dec.bin
32,0.334663,0.334663,100.000000,U2-Trial2/sqrt2.bin/Result32Enc.bin,U2-Trial2/sqrt2.bin/Result32Dec.bin
33,0.334663,0.334663,100.000000,U2-Trial2/sqrt2.bin/Result33Enc.bin,U2-Trial2/sqrt2.bin/Result33Dec.bin
34,0.334663,0.334663,100.000000,U2-Trial2/sqrt2.bin/Result34Enc.bin,U2-Trial2/sqrt2.bin/Result34Dec.bin
35,0.334663,0.334663,100.000000,U2-Trial2/sqrt2.bin/Result35Enc.bin,U2-Trial2/sqrt2.bin/Result35Dec.bin
36,-1.121671,1.172164,49.903721,U2-Trial2/sqrt2.bin/Result36Enc.bin,U2-Trial2/sqrt2.bin/Result36Dec.bin
37,0.334663,0.334663,100.000000,U2-Trial2/sqrt2.bin/Result37Enc.bin,U2-Trial2/sqrt2.bin/Result37Dec.bin
38,0.334298,0.334589,99.999985,U2-Trial2/sqrt2.bin/Result38Enc.bin,U2-Trial2/sqrt2.bin/Result38Dec.bin
39,0.259250,0.334663,23.896614,U2-Trial2/sqrt2.bin/Result39Enc.bin,U2-Trial2/sqrt2.bin/Result39Dec.bin
40,0.334663,0.334663,100.000000,U2-Trial2/sqrt2.bin/Result40Enc.bin,U2-Trial2/sqrt2.bin/Result40Dec.bin
41,0.334663,0.334663,100.000000,U2-Trial2/sqrt2.bin/Result41Enc.bin,U2-Trial2/sqrt2.bin/Result41Dec.bin
42,-0.808425,-0.331815,42.493904,U2-Trial2/sqrt2.bin/Result42Enc.bin,U2-Trial2/sqrt2.bin/Result42Dec.bin
43,0.277126,0.119397,44.645348,U2-Trial2/sqrt2.bin/Result43Enc.bin,U2-Trial2/sqrt2.bin/Result43Dec.bin
44,-0.263216,-0.620890,46.612885,U2-Trial2/sqrt2.bin/Result44Enc.bin,U2-Trial2/sqrt2.bin/Result44Dec.bin
45,0.334663,0.334663,100.000000,U2-Trial2/sqrt2.bin/Result45Enc.bin,U2-Trial2/sqrt2.bin/Result45Dec.bin
46,0.334636,0.334663,100.000000,U2-Trial2/sqrt2.bin/Result46Enc.bin,U2-Trial2/sqrt2.bin/Result46Dec.bin
47,0.334663,0.334663,100.000000,U2-Trial2/sqrt2.bin/Result47Enc.bin,U2-Trial2/sqrt2.bin/Result47Dec.bin
48,0.337222,0.336696,99.994629,U2-Trial2/sqrt2.bin/Result48Enc.bin,U2-Trial2/sqrt2.bin/Result48Dec.bin
49,-0.585690,0.334663,26.996609,U2-Trial2/sqrt2.bin/Result49Enc.bin,U2-Trial2/sqrt2.bin/Result49Dec.bin
50,-0.263257,-0.620890,46.612801,U2-Trial2/sqrt2.bin/Result50Enc.bin,U2-Trial2/sqrt2.bin/Result50Dec.bin
51,0.334663,0.334663,100.000000,U2-Trial2/sqrt2.bin/Result51Enc.bin,U2-Trial2/sqrt2.bin/Result51Dec.bin
52,0.442102,0.986667,54.310913,U2-Trial2/sqrt2.bin/Result52Enc.bin,U2-Trial2/sqrt2.bin/Result52Dec.bin
53,-0.264766,-0.621457,46.599564,U2-Trial2/sqrt2.bin/Result53Enc.bin,U2-Trial2/sqrt2.bin/Result53Dec.bin
54,0.215954,0.119386,50.315624,U2-Trial2/sqrt2.bin/Result54Enc.bin,U2-Trial2/sqrt2.bin/Result54Dec.bin
55,0.192265,0.249639,17.804239,U2-Trial2/sqrt2.bin/Result55Enc.bin,U2-Trial2/sqrt2.bin/Result55Dec.bin
56,0.277126,0.119397,44.645348,U2-Trial2/sqrt2.bin/Result56Enc.bin,U2-Trial2/sqrt2.bin/Result56Dec.bin
57,-1.516903,-0.904191,31.797651,U2-Trial2/sqrt2.bin/Result57Enc.bin,U2-Trial2/sqrt2.bin/Result57Dec.bin
