File,Frequency,BlockFrequency,CumulativeSums,CumulativeSums,Runs,LongestRun,Rank,FFT,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,OverlappingTemplate,Universal,ApproximateEntropy,RandomExcursions,RandomExcursions,RandomExcursions,RandomExcursions,RandomExcursions,RandomExcursions,RandomExcursions,RandomExcursions,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,Serial,Serial,LinearComplexity
Result0Dec,0.723339,0.033473,0.960962,0.777476,0.160953,0.525614,0.441833,0.776046,0.948989,0.720252,0.701427,0.903501,0.882141,0.998512,0.593805,0.445731,0.983819,0.195888,0.697314,0.396999,0.364819,0.808173,0.001476,0.824916,0.268153,0.938918,0.234765,0.663046,0.271695,0.102898,0.638847,0.224320,0.866184,0.795084,0.862534,0.487554,0.079757,0.258317,0.854346,0.901233,0.712439,0.932342,0.873270,0.608063,0.879571,0.757484,0.396115,0.358794,0.857797,0.362401,0.352196,0.253395,0.973093,0.228268,0.862722,0.582305,0.544706,0.725481,0.586993,0.448889,0.239543,0.601339,0.648694,0.280510,0.953902,0.052687,0.955317,0.643830,0.181897,0.524962,0.242724,0.287161,0.311805,0.104021,0.687300,0.742670,0.256427,0.984770,0.851835,0.597099,0.700957,0.758842,0.948989,0.124147,0.411809,0.972078,0.144853,0.994311,0.894620,0.541149,0.028547,0.314157,0.598276,0.371288,0.763918,0.033984,0.471747,0.733813,0.270863,0.304909,0.110015,0.822851,0.319493,0.684585,0.450789,0.826151,0.087293,0.629361,0.325237,0.679268,0.473912,0.922982,0.528708,0.378783,0.925628,0.360641,0.670867,0.330529,0.081501,0.546660,0.235172,0.640271,0.996073,0.167038,0.596157,0.106544,0.696255,0.945681,0.546315,0.880637,0.488763,0.543443,0.609834,0.746105,0.175645,0.330617,0.703305,0.355760,0.636475,0.701662,0.946399,0.403817,0.106824,0.678086,0.001314,0.588284,0.745304,0.909920,0.974825,0.563300,0.250392,0.365286,0.687182,0.399856,0.535772,0.758842,0.469474,0.102781,0.755893,0.615146,0.663870,0.160898,0.050182,0.262621,0.508412,0.991009,0.492631,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Result0Enc,0.043591,0.397050,0.077657,0.032790,0.242776,0.187189,0.930684,0.679644,0.826356,0.262424,0.655338,0.391615,0.808704,0.866277,0.944228,0.473154,0.179757,0.562139,0.615980,0.297798,0.192859,0.410304,0.657948,0.932274,0.082442,0.457153,0.058420,0.490084,0.980447,0.140846,0.435916,0.123947,0.954830,0.549422,0.734505,0.071380,0.663046,0.307637,0.319834,0.921532,0.167810,0.084580,0.144171,0.084438,0.128440,0.748846,0.175806,0.586641,0.245867,0.469802,0.133752,0.191072,0.664232,0.932071,0.890046,0.311638,0.098545,0.953241,0.031608,0.529162,0.686238,0.144262,0.567715,0.125028,0.574940,0.490304,0.038795,0.186917,0.377924,0.597687,0.311889,0.452905,0.140357,0.285743,0.304003,0.314157,0.317029,0.439035,0.765379,0.364726,0.576108,0.454495,0.826356,0.826767,0.803590,0.217925,0.324548,0.739111,0.511317,0.333856,0.123272,0.805726,0.089036,0.740145,0.342273,0.065707,0.858178,0.327312,0.759520,0.743243,0.594040,0.624621,0.963333,0.641457,0.928714,0.910930,0.297717,0.290967,0.166627,0.570276,0.904465,0.698960,0.614443,0.390252,0.987461,0.263311,0.476626,0.439661,0.392103,0.085553,0.997388,0.808173,0.606174,0.011182,0.178450,0.883899,0.976636,0.234630,0.191475,0.712439,0.204780,0.515474,0.500929,0.761778,0.619175,0.813669,0.386276,0.744160,0.302607,0.042879,0.021765,0.975018,0.081364,0.569228,0.268078,0.339244,0.225040,0.701192,0.653084,0.296019,0.413318,0.510644,0.071039,0.458751,0.442690,0.454495,0.122783,0.856007,0.819088,0.312093,0.416595,0.865213,0.285015,0.581895,0.172150,0.672353,0.704666,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ResultAESClearSections,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ResultAESSections,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Result1Dec,0.578211,0.108409,0.291867,0.692331,0.453441,0.100190,0.785979,0.398530,0.318386,0.824091,0.753628,0.884948,0.690249,0.988812,0.860173,0.802841,0.916952,0.444472,0.697666,0.428170,0.395330,0.910542,0.073811,0.688244,0.916276,0.884161,0.706705,0.323515,0.633273,0.330268,0.939493,0.136673,0.504270,0.985247,0.989805,0.490415,0.428890,0.397098,0.753969,0.970872,0.641457,0.890814,0.686356,0.848525,0.950771,0.997986,0.195595,0.341291,0.607590,0.953572,0.859889,0.103680,0.665891,0.713840,0.981774,0.547695,0.303099,0.516037,0.455026,0.385117,0.444157,0.645847,0.982861,0.174416,0.331053,0.556348,0.842616,0.336057,0.323601,0.799620,0.557157,0.740490,0.489093,0.379834,0.542181,0.879304,0.512776,0.827383,0.706705,0.560284,0.943556,0.552535,0.318386,0.626872,0.796167,0.946101,0.304661,0.382518,0.701662,0.425401,0.153590,0.516938,0.597569,0.076368,0.901559,0.244676,0.608181,0.629479,0.812827,0.088798,0.405707,0.350196,0.450472,0.799081,0.304085,0.216206,0.111605,0.344870,0.706002,0.710217,0.073208,0.862063,0.221913,0.534630,0.440600,0.611606,0.655101,0.080298,0.044326,0.522583,0.498708,0.954012,0.459605,0.568414,0.546890,0.323773,0.735312,0.997440,0.977834,0.969159,0.207774,0.849794,0.707642,0.978260,0.380983,0.036002,0.355576,0.670985,0.418979,0.671932,0.363423,0.503601,0.186298,0.347030,0.013657,0.294328,0.979235,0.674892,0.845187,0.157266,0.031070,0.266507,0.851252,0.128071,0.467969,0.552535,0.176256,0.158322,0.254004,0.584091,0.344952,0.422944,0.785795,0.302534,0.253105,0.390570,0.259652,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Result1Enc,0.005923,0.531864,0.011350,0.004253,0.355705,0.327313,0.429903,0.868803,0.697314,0.122441,0.789756,0.144262,0.929957,0.286530,0.666128,0.733120,0.284173,0.794217,0.907409,0.621424,0.126643,0.552074,0.493393,0.293686,0.386856,0.214435,0.849208,0.355301,0.961674,0.224647,0.252606,0.145172,0.869056,0.720136,0.293766,0.481748,0.950885,0.606528,0.738536,0.272150,0.583008,0.011908,0.258536,0.429404,0.784278,0.853672,0.256427,0.384635,0.733120,0.526436,0.307223,0.056692,0.676666,0.320260,0.552997,0.100817,0.457259,0.574357,0.154743,0.649525,0.237896,0.206486,0.293686,0.281831,0.617755,0.189128,0.009539,0.619648,0.428581,0.711620,0.894032,0.969937,0.480874,0.572607,0.322056,0.265910,0.287556,0.966388,0.719321,0.704009,0.614206,0.852899,0.697314,0.327139,0.429199,0.617400,0.062365,0.946280,0.360086,0.444891,0.017337,0.681632,0.358425,0.622134,0.685176,0.274051,0.593687,0.069069,0.957392,0.364167,0.763130,0.835214,0.595334,0.819738,0.938341,0.388600,0.074773,0.630902,0.816293,0.550575,0.493172,0.909530,0.586289,0.066002,0.597687,0.373082,0.737616,0.713490,0.860363,0.387534,0.812722,0.819009,0.262868,0.004874,0.874632,0.902127,0.809764,0.627702,0.106859,0.327399,0.052724,0.657117,0.451106,0.566204,0.775547,0.672524,0.138724,0.709281,0.658778,0.021538,0.281287,0.680923,0.267404,0.294569,0.440809,0.556463,0.399166,0.076471,0.519419,0.841126,0.615389,0.713256,0.149658,0.383864,0.895541,0.852899,0.683211,0.992991,0.689097,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Result2Dec,0.604458,0.091517,0.451991,0.550134,0.253565,0.482467,0.577829,0.462869,0.840528,0.807429,0.654864,0.619056,0.943556,0.997142,0.795518,0.686592,0.916802,0.304003,0.285036,0.535886,0.236735,0.919480,0.023086,0.676075,0.255630,0.970279,0.433946,0.089125,0.217223,0.165502,0.923270,0.181236,0.773322,0.869148,0.952351,0.605820,0.094670,0.287082,0.704712,0.948348,0.588284,0.693665,0.744732,0.829123,0.849111,0.685058,0.657948,0.099199,0.551036,0.767623,0.224843,0.488324,0.546660,0.235104,0.995279,0.733120,0.572374,0.661505,0.383095,0.310467,0.715708,0.524508,0.789210,0.250962,0.748047,0.065278,0.900009,0.529390,0.274814,0.677140,0.303756,0.589810,0.118399,0.028970,0.760649,0.781746,0.597923,0.977076,0.930369,0.680450,0.902775,0.348204,0.840528,0.467108,0.363516,0.990615,0.323085,0.971872,0.585234,0.510307,0.090506,0.347210,0.568646,0.112848,0.623200,0.055866,0.496933,0.825431,0.529162,0.414527,0.134734,0.678322,0.077913,0.850572,0.817235,0.518967,0.193729,0.614088,0.248829,0.644898,0.134606,0.964527,0.854057,0.517276,0.731849,0.268078,0.614443,0.193323,0.021765,0.696843,0.135421,0.675247,0.983965,0.397393,0.618465,0.030318,0.730809,0.997207,0.839031,0.881788,0.529958,0.197122,0.391615,0.760988,0.509859,0.095491,0.664943,0.238170,0.576225,0.611606,0.902613,0.338534,0.264571,0.439140,0.003088,0.486895,0.963813,0.985903,0.973850,0.538286,0.205266,0.092521,0.509859,0.254187,0.518291,0.348204,0.399059,0.978453,0.195214,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Result2Enc,0.012073,0.195454,0.022361,0.009486,0.320074,0.322184,0.148031,0.550854,0.643237,0.084126,0.973413,0.122915,0.940064,0.844793,0.943187,0.690838,0.032249,0.790083,0.705533,0.311721,0.147378,0.448678,0.483826,0.698019,0.099232,0.277190,0.168120,0.445521,0.848036,0.226287,0.096798,0.118668,0.944350,0.469047,0.621305,0.171980,0.820050,0.426221,0.494609,0.743587,0.197416,0.008383,0.359163,0.481420,0.207405,0.995563,0.223667,0.745533,0.458644,0.518403,0.224320,0.217925,0.379643,0.902532,0.685294,0.155370,0.015043,0.615389,0.202241,0.527344,0.688362,0.250677,0.480001,0.097378,0.464206,0.210244,0.043870,0.057771,0.262277,0.370346,0.624858,0.834204,0.263755,0.571208,0.360733,0.203930,0.642881,0.632324,0.714074,0.666721,0.557273,0.296584,0.643237,0.589810,0.975741,0.194252,0.482403,0.929130,0.505386,0.291286,0.217542,0.803483,0.019305,0.897703,0.386856,0.350015,0.497266,0.129637,0.757258,0.902289,0.567948,0.854828,0.962655,0.562603,0.897206,0.478258,0.207958,0.601810,0.670393,0.554960,0.676075,0.361567,0.725249,0.525529,0.736119,0.121812,0.690367,0.486237,0.717457,0.307969,0.957129,0.985903,0.534059,0.001072,0.451106,0.964195,0.984457,0.135292,0.055012,0.702718,0.104810,0.378878,0.335440,0.781525,0.622845,0.702249,0.213680,0.845286,0.694019,0.003163,0.117597,0.879660,0.208143,0.606292,0.415133,0.474997,0.582891,0.252606,0.704243,0.668498,0.588753,0.415436,0.040447,0.344601,0.649288,0.296584,0.046334,0.502973,0.726689,0.223255,0.038674,0.296120,0.640564,0.659023,0.960048,0.864242,0.612525,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Result3Dec,0.000000,0.000000,0.000000,0.000000,0.000000,0.000585,0.229755,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.127498,0.006746,0.000079,0.010426,0.074366,0.353107,0.000496,0.007529,0.000000,0.000001,0.000009,0.000154,0.004738,0.000001,0.000003,0.000000,0.000000,0.000000,0.000039,0.000708,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.007339,0.000000,0.000000,0.099527,0.000000,0.000000,0.000000,0.000000,0.000000,0.000797,0.000000,0.000000,0.000000,0.000000,0.000000,0.006641,0.000000,0.001525,0.000000,0.000101,0.000000,0.000000,0.000000,0.000000,0.000005,0.000000,0.000098,0.000000,0.000000,0.000640,0.000000,0.000000,0.000000,0.000000,0.000298,0.000000,0.000000,0.026490,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000315,0.000000,0.000000,0.002019,0.000000,0.000000,0.000000,0.000005,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000063,0.000000,0.000000,0.000000,0.007809,0.000000,0.000000,0.000000,0.000008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Result3Enc,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.062238,0.000000,0.000000,0.000000,0.000000,0.000000,0.000553,0.000000,0.000000,0.000000,0.000000,0.007328,0.334911,0.000000,0.001154,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.914765,0.000000,0.000000,0.522357,0.000000,0.333944,0.325669,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.106859,0.000000,0.000000,0.000000,0.000000,0.360456,0.000000,0.001939,0.649169,0.070723,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.462384,0.000000,0.000000,0.000000,0.603107,0.546545,0.000000,0.000000,0.014299,0.000000,0.000000,0.891835,0.000000,0.000000,0.000000,0.000000,0.000000,0.788882,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.610425,0.000000,0.016929,0.010052,0.000000,0.000000,0.000000,0.000000,0.000000,0.350559,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.068408,0.000000,0.000000,0.001315,0.000000,0.000202,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.099232,0.000000,0.000000,0.000000,0.376401,0.000001,0.100253,0.000000,0.000000,0.000000,0.000001,0.236531,0.000011,0.371948,0.734389,0.000000,0.000724,0.663758,0.641457,0.000032,0.060028,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
