Config file: Conf.ini 
Using binary neurons
Number,NCC-Alice Bob(%),NCC-Alice Original(%),NCC-Bob Original(%),Alice Name,Bob Name
0,6.099892,6.099771,99.999962,U5/sqrt2.bin/Result0Enc.bin,U5/sqrt2.bin/Result0Dec.bin
1,5.972377,5.346784,96.315674,U5/sqrt2.bin/Result1Enc.bin,U5/sqrt2.bin/Result1Dec.bin
2,6.099861,6.099861,100.000000,U5/sqrt2.bin/Result2Enc.bin,U5/sqrt2.bin/Result2Dec.bin
3,0.283081,0.124481,7.553246,U5/sqrt2.bin/Result3Enc.bin,U5/sqrt2.bin/Result3Dec.bin
4,4.302491,6.099861,47.762497,U5/sqrt2.bin/Result4Enc.bin,U5/sqrt2.bin/Result4Dec.bin
5,3.034290,-0.380091,11.826850,U5/sqrt2.bin/Result5Enc.bin,U5/sqrt2.bin/Result5Dec.bin
6,6.099861,6.099861,100.000000,U5/sqrt2.bin/Result6Enc.bin,U5/sqrt2.bin/Result6Dec.bin
7,4.302169,6.099861,47.763691,U5/sqrt2.bin/Result7Enc.bin,U5/sqrt2.bin/Result7Dec.bin
8,-0.095144,1.051167,14.962437,U5/sqrt2.bin/Result8Enc.bin,U5/sqrt2.bin/Result8Dec.bin
9,6.099861,6.099861,100.000000,U5/sqrt2.bin/Result9Enc.bin,U5/sqrt2.bin/Result9Dec.bin
10,6.099861,6.099861,100.000000,U5/sqrt2.bin/Result10Enc.bin,U5/sqrt2.bin/Result10Dec.bin
11,6.099859,6.099862,100.000000,U5/sqrt2.bin/Result11Enc.bin,U5/sqrt2.bin/Result11Dec.bin
12,4.302491,6.099861,47.762497,U5/sqrt2.bin/Result12Enc.bin,U5/sqrt2.bin/Result12Dec.bin
13,6.099861,6.099861,100.000000,U5/sqrt2.bin/Result13Enc.bin,U5/sqrt2.bin/Result13Dec.bin
14,6.099848,6.099861,100.000000,U5/sqrt2.bin/Result14Enc.bin,U5/sqrt2.bin/Result14Dec.bin
15,4.302491,6.099861,47.762497,U5/sqrt2.bin/Result15Enc.bin,U5/sqrt2.bin/Result15Dec.bin
16,4.302492,6.099862,47.762501,U5/sqrt2.bin/Result16Enc.bin,U5/sqrt2.bin/Result16Dec.bin
17,1.116008,6.099861,50.726040,U5/sqrt2.bin/Result17Enc.bin,U5/sqrt2.bin/Result17Dec.bin
18,6.099890,6.099883,99.999886,U5/sqrt2.bin/Result18Enc.bin,U5/sqrt2.bin/Result18Dec.bin
19,6.099861,6.099861,100.000000,U5/sqrt2.bin/Result19Enc.bin,U5/sqrt2.bin/Result19Dec.bin
20,4.302491,6.099861,47.762497,U5/sqrt2.bin/Result20Enc.bin,U5/sqrt2.bin/Result20Dec.bin
21,6.100363,6.099861,99.999939,U5/sqrt2.bin/Result21Enc.bin,U5/sqrt2.bin/Result21Dec.bin
22,6.573916,7.138747,35.204819,U5/sqrt2.bin/Result22Enc.bin,U5/sqrt2.bin/Result22Dec.bin
23,0.907144,6.099861,21.845964,U5/sqrt2.bin/Result23Enc.bin,U5/sqrt2.bin/Result23Dec.bin
24,6.099861,6.099861,100.000000,U5/sqrt2.bin/Result24Enc.bin,U5/sqrt2.bin/Result24Dec.bin
25,2.577605,6.099861,21.644979,U5/sqrt2.bin/Result25Enc.bin,U5/sqrt2.bin/Result25Dec.bin
26,8.019522,3.632917,25.771519,U5/sqrt2.bin/Result26Enc.bin,U5/sqrt2.bin/Result26Dec.bin
27,2.175960,-0.380257,5.792814,U5/sqrt2.bin/Result27Enc.bin,U5/sqrt2.bin/Result27Dec.bin
28,6.445172,6.099861,73.191811,U5/sqrt2.bin/Result28Enc.bin,U5/sqrt2.bin/Result28Dec.bin
