Config file: Conf.ini 
Using binary neurons
Number,NCC-Alice Bob(%),NCC-Alice Original(%),NCC-Bob Original(%),Alice Name,Bob Name
0,1.196835,1.196835,100.000000,U1-Trial1/pi.bin/Result0Enc.bin,U1-Trial1/pi.bin/Result0Dec.bin
1,1.196835,1.196835,100.000000,U1-Trial1/pi.bin/Result1Enc.bin,U1-Trial1/pi.bin/Result1Dec.bin
2,1.197729,1.197157,99.999931,U1-Trial1/pi.bin/Result2Enc.bin,U1-Trial1/pi.bin/Result2Dec.bin
3,1.196835,1.196835,100.000000,U1-Trial1/pi.bin/Result3Enc.bin,U1-Trial1/pi.bin/Result3Dec.bin
4,1.196835,1.196835,100.000000,U1-Trial1/pi.bin/Result4Enc.bin,U1-Trial1/pi.bin/Result4Dec.bin
5,1.196835,1.196835,100.000000,U1-Trial1/pi.bin/Result5Enc.bin,U1-Trial1/pi.bin/Result5Dec.bin
6,1.196835,1.196835,100.000000,U1-Trial1/pi.bin/Result6Enc.bin,U1-Trial1/pi.bin/Result6Dec.bin
7,1.196835,1.196835,100.000000,U1-Trial1/pi.bin/Result7Enc.bin,U1-Trial1/pi.bin/Result7Dec.bin
8,1.196835,1.196835,100.000000,U1-Trial1/pi.bin/Result8Enc.bin,U1-Trial1/pi.bin/Result8Dec.bin
9,1.196835,1.196835,100.000000,U1-Trial1/pi.bin/Result9Enc.bin,U1-Trial1/pi.bin/Result9Dec.bin
10,-0.027029,0.405112,50.535011,U1-Trial1/pi.bin/Result10Enc.bin,U1-Trial1/pi.bin/Result10Dec.bin
11,1.196835,1.196835,100.000000,U1-Trial1/pi.bin/Result11Enc.bin,U1-Trial1/pi.bin/Result11Dec.bin
12,1.196835,1.196835,100.000000,U1-Trial1/pi.bin/Result12Enc.bin,U1-Trial1/pi.bin/Result12Dec.bin
13,1.196835,1.196835,100.000000,U1-Trial1/pi.bin/Result13Enc.bin,U1-Trial1/pi.bin/Result13Dec.bin
