Config file: Conf.ini 
Using binary neurons
Number,NCC-Alice Bob(%),NCC-Alice Original(%),NCC-Bob Original(%),Alice Name,Bob Name
0,7.442184,7.442184,100.000000,U4/pi.bin/Result0Enc.bin,U4/pi.bin/Result0Dec.bin
1,7.442184,7.442184,100.000000,U4/pi.bin/Result1Enc.bin,U4/pi.bin/Result1Dec.bin
2,7.442184,7.442184,100.000000,U4/pi.bin/Result2Enc.bin,U4/pi.bin/Result2Dec.bin
3,7.442184,7.442184,100.000000,U4/pi.bin/Result3Enc.bin,U4/pi.bin/Result3Dec.bin
4,7.442184,7.442184,100.000000,U4/pi.bin/Result4Enc.bin,U4/pi.bin/Result4Dec.bin
5,7.442184,7.442184,100.000000,U4/pi.bin/Result5Enc.bin,U4/pi.bin/Result5Dec.bin
6,7.442184,7.442184,100.000000,U4/pi.bin/Result6Enc.bin,U4/pi.bin/Result6Dec.bin
7,7.442184,7.442184,100.000000,U4/pi.bin/Result7Enc.bin,U4/pi.bin/Result7Dec.bin
8,7.442184,7.442184,100.000000,U4/pi.bin/Result8Enc.bin,U4/pi.bin/Result8Dec.bin
9,7.442184,7.442184,100.000000,U4/pi.bin/Result9Enc.bin,U4/pi.bin/Result9Dec.bin
10,7.442184,7.442184,100.000000,U4/pi.bin/Result10Enc.bin,U4/pi.bin/Result10Dec.bin
11,7.442184,7.442184,100.000000,U4/pi.bin/Result11Enc.bin,U4/pi.bin/Result11Dec.bin
12,7.442184,7.442184,100.000000,U4/pi.bin/Result12Enc.bin,U4/pi.bin/Result12Dec.bin
13,7.439987,7.442184,99.999985,U4/pi.bin/Result13Enc.bin,U4/pi.bin/Result13Dec.bin
14,7.442184,7.442184,100.000000,U4/pi.bin/Result14Enc.bin,U4/pi.bin/Result14Dec.bin
15,7.442184,7.442184,100.000000,U4/pi.bin/Result15Enc.bin,U4/pi.bin/Result15Dec.bin
16,7.442184,7.442184,100.000000,U4/pi.bin/Result16Enc.bin,U4/pi.bin/Result16Dec.bin
17,7.442184,7.442184,100.000000,U4/pi.bin/Result17Enc.bin,U4/pi.bin/Result17Dec.bin
18,7.442184,7.442184,100.000000,U4/pi.bin/Result18Enc.bin,U4/pi.bin/Result18Dec.bin
19,7.439987,7.442184,99.999985,U4/pi.bin/Result19Enc.bin,U4/pi.bin/Result19Dec.bin
