Config file: Conf.ini 
Using binary neurons
Number,NCC-Alice Bob(%),NCC-Alice Original(%),NCC-Bob Original(%),Alice Name,Bob Name
0,-1.035845,-1.035845,100.000000,U4/sqrt2.bin/Result0Enc.bin,U4/sqrt2.bin/Result0Dec.bin
1,-1.035845,-1.035845,100.000000,U4/sqrt2.bin/Result1Enc.bin,U4/sqrt2.bin/Result1Dec.bin
2,-1.035845,-1.035845,100.000000,U4/sqrt2.bin/Result2Enc.bin,U4/sqrt2.bin/Result2Dec.bin
3,-1.035845,-1.035845,100.000000,U4/sqrt2.bin/Result3Enc.bin,U4/sqrt2.bin/Result3Dec.bin
4,-1.035845,-1.035845,100.000000,U4/sqrt2.bin/Result4Enc.bin,U4/sqrt2.bin/Result4Dec.bin
5,-1.035845,-1.035845,100.000000,U4/sqrt2.bin/Result5Enc.bin,U4/sqrt2.bin/Result5Dec.bin
6,-1.035845,-1.035845,100.000000,U4/sqrt2.bin/Result6Enc.bin,U4/sqrt2.bin/Result6Dec.bin
7,-1.035845,-1.035845,100.000000,U4/sqrt2.bin/Result7Enc.bin,U4/sqrt2.bin/Result7Dec.bin
8,-1.035838,-1.035845,100.000000,U4/sqrt2.bin/Result8Enc.bin,U4/sqrt2.bin/Result8Dec.bin
9,-1.035845,-1.035845,100.000000,U4/sqrt2.bin/Result9Enc.bin,U4/sqrt2.bin/Result9Dec.bin
10,-1.035845,-1.035845,100.000000,U4/sqrt2.bin/Result10Enc.bin,U4/sqrt2.bin/Result10Dec.bin
11,-1.035845,-1.035845,100.000000,U4/sqrt2.bin/Result11Enc.bin,U4/sqrt2.bin/Result11Dec.bin
12,-1.035845,-1.035845,100.000000,U4/sqrt2.bin/Result12Enc.bin,U4/sqrt2.bin/Result12Dec.bin
13,-1.034326,-1.035845,99.999985,U4/sqrt2.bin/Result13Enc.bin,U4/sqrt2.bin/Result13Dec.bin
14,-1.035845,-1.035845,100.000000,U4/sqrt2.bin/Result14Enc.bin,U4/sqrt2.bin/Result14Dec.bin
15,-1.035845,-1.035845,100.000000,U4/sqrt2.bin/Result15Enc.bin,U4/sqrt2.bin/Result15Dec.bin
16,-1.035845,-1.035845,100.000000,U4/sqrt2.bin/Result16Enc.bin,U4/sqrt2.bin/Result16Dec.bin
17,-1.035845,-1.035845,100.000000,U4/sqrt2.bin/Result17Enc.bin,U4/sqrt2.bin/Result17Dec.bin
18,-1.035845,-1.035845,100.000000,U4/sqrt2.bin/Result18Enc.bin,U4/sqrt2.bin/Result18Dec.bin
19,-1.034326,-1.035845,99.999985,U4/sqrt2.bin/Result19Enc.bin,U4/sqrt2.bin/Result19Dec.bin
20,-0.389608,-0.823044,61.932713,U4/sqrt2.bin/Result20Enc.bin,U4/sqrt2.bin/Result20Dec.bin
21,12.613983,1.067229,42.856487,U4/sqrt2.bin/Result21Enc.bin,U4/sqrt2.bin/Result21Dec.bin
22,0.073183,0.261379,58.165550,U4/sqrt2.bin/Result22Enc.bin,U4/sqrt2.bin/Result22Dec.bin
23,-1.035845,-1.035845,100.000000,U4/sqrt2.bin/Result23Enc.bin,U4/sqrt2.bin/Result23Dec.bin
24,-1.035845,-1.035845,100.000000,U4/sqrt2.bin/Result24Enc.bin,U4/sqrt2.bin/Result24Dec.bin
25,-1.035838,-1.035845,100.000000,U4/sqrt2.bin/Result25Enc.bin,U4/sqrt2.bin/Result25Dec.bin
26,-1.099241,-1.035845,32.500820,U4/sqrt2.bin/Result26Enc.bin,U4/sqrt2.bin/Result26Dec.bin
27,-1.035845,-1.035845,100.000000,U4/sqrt2.bin/Result27Enc.bin,U4/sqrt2.bin/Result27Dec.bin
28,-1.035913,-1.035836,99.999893,U4/sqrt2.bin/Result28Enc.bin,U4/sqrt2.bin/Result28Dec.bin
29,0.069180,-1.035871,40.758160,U4/sqrt2.bin/Result29Enc.bin,U4/sqrt2.bin/Result29Dec.bin
30,-1.032260,-1.035845,99.936104,U4/sqrt2.bin/Result30Enc.bin,U4/sqrt2.bin/Result30Dec.bin
31,-1.035765,-1.035876,100.000000,U4/sqrt2.bin/Result31Enc.bin,U4/sqrt2.bin/Result31Dec.bin
32,-1.035845,-1.035845,100.000000,U4/sqrt2.bin/Result32Enc.bin,U4/sqrt2.bin/Result32Dec.bin
33,-1.035845,-1.035845,100.000000,U4/sqrt2.bin/Result33Enc.bin,U4/sqrt2.bin/Result33Dec.bin
34,0.008120,-1.035845,39.391304,U4/sqrt2.bin/Result34Enc.bin,U4/sqrt2.bin/Result34Dec.bin
35,-1.035845,-1.035845,100.000000,U4/sqrt2.bin/Result35Enc.bin,U4/sqrt2.bin/Result35Dec.bin
